pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits
17800815,15244,useless,hereblur,1476125846,2,2,1,4.799376800411523,90.21412319958844,178
17784842,15243,useless,drpicox,1476086373,2,527,3,0,89.1126280864197,178
17764435,15238,useless,mgol,1476025273,2,84,2,19.02381417181069,88.49875874485588,177
17763593,15237,useless,mgol,1476021359,4,264,8,9.71486484053498,88.58785056584352,177
17762797,15236,useful,mgol,1476017993,1,4,2,0.18306352880658427,88.66446862139924,177
17761047,15235,useful,Narretz,1476012004,2,14,2,2.487979809670782,88.80079230967088,177
17760973,15234,useful,jbedard,1476011773,1,21,2,4.960835905349795,88.8060504115226,177
17749579,15231,useful,BobChao87,1475961416,1,26,1,2.197420267489712,88.94881468621402,177
17741743,15230,useless,jbedard,1475922342,2,18,3,4.606949588477367,89.83823058127567,177
17733169,15228,useless,gkalpak,1475879839,10,766,2,1.1574027777777778,89.80110776748982,177
17703025,15225,useless,petebacondarwin,1475813009,2,105,5,3.696191872427984,89.31164634773668,176
17705930,15224,useful,Smurf81,1475795166,1,2,1,0.30981815843621396,87.7064387860082,174
17598377,15213,useless,gkalpak,1475536656,1,314,8,33.72647916666666,74.10743287037029,162
17579133,15208,useless,BobChao87,1475453016,2,110,2,6.001165766460906,74.85389248971187,162
17533420,15206,useful,jutaz,1475287937,1,49,13,42.66649987139915,78.40736676954724,169
17482704,15198,useful,tijwelch,1475131467,1,2,1,2.6343769290123453,76.75662358539088,171
17481145,15197,useful,GregoryPorter,1475128262,2,4,2,0.03325681584362139,76.82710390946511,171
17390356,15189,useless,Tzook,1474897664,1,45,2,1.945707047325103,81.90780234053503,172
17361780,15187,useful,pharkare,1474819784,1,2,1,0,81.64063683127576,174
17354215,15186,useful,thorn0,1474785774,1,2,1,3.1338523662551436,82.41137461419764,179
17351427,15184,useful,ellimist,1474772105,2,4,1,13.880808770576131,79.71140792181063,176
17323652,15182,useless,mrLarbi,1474631406,2,7,1,0.8252878086419753,82.91631635802472,179
17309969,15181,useful,mgol,1474599018,12,264,2,6.406953832304526,83.66187345679016,179
17263834,15173,useful,3noch,1474462415,2,7,1,1.682857381687243,86.80641268004116,179
17262303,15172,useless,ppham27,1474458881,1,1,1,0.4816655092592592,86.88776376028807,179
17244544,15166,useful,JonyD,1474419460,1,2,1,1.6461895576131687,83.77970421810703,176
17210014,15161,useful,petebacondarwin,1474329899,3,85,3,11.293886959876543,103.13756610082304,199
17196098,15160,useful,gkalpak,1474285173,3,46,2,7.121748070987657,86.89902070473254,185
17187781,15157,useful,gkalpak,1474267732,2,850,4,10.00431635802469,85.30526298868307,183
17166375,15153,useful,stevermeister,1474185554,1,10,1,1.512132973251029,85.214205632716,181
17161169,15152,useless,fixbugsnow,1474160559,1,2,1,0,85.79600797325104,181
17130965,15150,useful,frankstepanski,1474018329,1,2,1,0,89.10665997942392,181
17125298,15149,useless,gkalpak,1474005570,2,99,2,29.013339634773665,88.39893582818922,180
17115507,15148,useless,alexpandian,1473977958,250,51959,580,501.66484053497356,87.02414313271609,178
17108049,15145,useless,adob,1473946698,2,116,5,4.924157664609053,87.74499061213987,180
17104614,15143,useless,petebacondarwin,1473939101,2,132,4,9.120909336419754,87.92084709362136,180
17091584,15142,useful,davidcigital,1473913435,1,30,1,1.447957561728395,88.52165264917696,183
17088648,15141,useful,Narretz,1473905236,2,410,1,12.108715663580245,87.70975000000001,182
17088606,15140,useless,petebacondarwin,1473905044,1,69,2,13.73292656893004,87.7142438271605,182
17069687,15138,useless,silvermanj7,1473845913,1,2,1,2.0792707047325103,86.09098058127567,185
17051815,15135,useful,jfreyre,1473802529,1,4,1,7.866299125514405,86.11649035493826,184
