pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits
17824807,20882,useful,vsn4ik,1476193639,1,52,9,19.04124909979424,152.14140522119365,251
17792800,20878,useful,mdo,1476102010,3,45,2,9.060559799382714,149.07572466563803,250
17766719,20876,useful,bardiharborow,1476037133,1,806,1,3.0901765689300413,141.1223323045265,242
17766359,20875,useful,mdo,1476035434,1,2,1,2.5951181841563784,135.14993171296283,236
17765238,20874,useful,mdo,1476029274,1,3,1,8.875253986625514,133.32857484567907,234
17764387,20873,useful,mdo,1476025072,1,2,1,0,126.4353962191358,227
17764232,20872,useful,mdo,1476024362,4,22,3,23.56464236111111,118.4506881430041,219
17764110,20871,useful,mdo,1476023753,1,1,1,2.3278877314814816,116.45951067386828,217
17764077,20870,useful,mdo,1476023558,1,18,1,5.138153163580247,114.45662062757202,215
17763906,20869,useful,mdo,1476022752,3,11,2,10.87871193415638,110.46223070987655,211
17763672,20868,useful,mdo,1476021750,1,1,1,2.8584394290123454,108.4810874485597,209
17762798,20867,useful,mdo,1476018004,1,4,2,11.229445730452674,103.56144727366255,204
17761762,20865,useful,mdo,1476014299,5,27,3,17.035230066872423,87.10216370884771,185
17760388,20864,useful,mdo,1476009780,1,2,1,6.588761574074074,87.20967592592592,185
17741327,20863,useless,erikgall,1475920861,1,2,1,2.702014403292181,87.30036201131692,184
17709824,20858,useful,vsn4ik,1475808045,1,2,1,5.035760416666666,89.97313220164608,185
17703284,20854,useful,RadicalLove,1475782883,250,3459,127,8.904784850823043,7.535770576131687,55
17695474,20853,useful,rafaelstz,1475754869,1,4,1,4.088511702674897,89.22215997942389,184
17621552,20852,useless,branislavdelic,1475752249,500,15886,153,151.4233184156379,89.28415586419763,184
17690105,20851,useless,dherges,1475742842,1,2,1,3.52319637345679,89.50698996913577,185
17689637,20850,useful,getsetbro,1475741946,1,1,1,0,89.52830684156378,185
17596817,20836,useless,VikneswaranThangarasu,1475542206,500,15868,154,160.54175372942368,93.31306442901236,188
17573987,20829,useful,mdo,1475435397,4,17,1,3.9172509002057616,86.84754179526752,180
17571551,20828,useful,mdo,1475426544,1,1,1,1.9591206275720165,76.3208019547325,169
17571245,20827,useful,mdo,1475425346,1,1,1,0,71.32585018004116,164
17570353,20826,useful,mdo,1475421694,1,1,1,0,69.39367091049385,162
17569936,20825,useful,mdo,1475420130,10,177,53,28.53039056069958,69.42625424382712,162
17562969,20823,useless,GeoffYoung,1475398648,1,1,1,0,69.87409220679011,163
17560012,20821,useful,patrickhlauke,1475389767,2,38,1,0.6974450874485596,70.0602551440329,163
17532230,20819,useless,mvdriel,1475281872,1,19,2,5.178952674897119,72.32194302983548,163
17528020,20816,useful,bardiharborow,1475257371,1,5,1,0.33883320473251033,72.83553137860082,163
17434493,20803,useful,cvrebert,1475013410,1,4,1,0.8642182355967079,77.94942579732508,163
17430161,20802,useless,bzd9,1474995638,1,1,1,0,13.389594264403291,58
17410373,20796,useless,funnyfunny,1474952257,1,1,1,0,79.23494084362136,170
17410121,20795,useful,coorasse,1474951799,1,42,2,1.4570896347736626,79.2449537037037,170
17359140,20785,useless,yogeshmanegit,1474806112,250,7934,154,150.5704470164609,82.50046129115222,177
17344110,20779,useless,indymx,1474725305,7,25,4,4.875689557613169,84.36389583333333,181
17342680,20778,useful,indymx,1474719422,250,22985,227,24.956754758230446,15.56142939814815,63
17326770,20775,useful,vinpac,1474638520,1,8,1,2.838358410493827,86.39078729423873,182
17321944,20774,useless,LTTDev,1474627138,1,2,1,1.5823446502057614,86.65718698559668,182
17320300,20773,useless,ZDroid,1474623293,1,1,1,4.138169881687244,86.74718055555553,182
17282302,20768,useful,mxviteri,1474521661,1,15,1,0,89.12678266460901,184
17276218,20765,useful,patrickhlauke,1474506376,1,10,1,0.4623060699588477,15.305422710905347,63
17275913,20764,useful,patrickhlauke,1474505527,1,10,1,4.464221064814815,87.50023122427989,182
17270570,20763,useless,shishirui,1474486703,1,1,1,0.3535941358024691,15.464810442386831,63
17236956,20754,useless,craigstroman,1474392148,1,1,1,1.2071329732510288,90.15390637860084,182
17171391,20745,useless,karolyi,1474205964,3,20,1,1.7448346193415638,94.55466512345676,185
17170649,20744,useless,karolyi,1474202956,1,2,1,1.7459951131687244,94.62622890946498,185
17161912,20742,useless,luojiao123,1474164729,1,1,1,0,95.54467592592593,190
17139647,20735,useless,zxlin25,1474046647,1,1,1,0,98.42990997942384,190
17133437,20734,useful,beausmith,1474023897,1,10,1,0,98.98578703703703,190
17122773,20731,useless,peebeebee,1474000211,1,8,1,1.8829305555555553,19.520572530864197,66
17086912,20725,useless,andyexeter,1473900074,1,10,1,1.8628477366255143,101.00390342078184,189
17043745,20715,useful,VarelloThemes,1473772436,1,4,2,0,104.11918441358021,190
17014528,20710,useless,EPDTRAINER,1473696710,187,100663,716,117.00032638888881,104.96331828703703,189
16999069,20706,useless,siluantahir,1473658912,1,2,1,5.00631121399177,104.87385905349794,188
16995148,20705,useful,nickknissen,1473649033,1,18,1,4.1692143775720165,105.11270318930046,188
16989376,20702,useless,mdo,1473630634,1,25,4,10.44093659979424,102.54501105967084,185
16989056,20701,useful,mdo,1473629205,1,11,2,5.9327485853909465,101.57479488168723,184
16988883,20700,useful,mdo,1473628457,1,22,1,5.933518132716049,101.59249447016461,184
16988878,20699,useful,mdo,1473628422,1,2,1,0,101.593322659465,184
16988468,20698,useful,pixelbandito,1473626403,1,1,1,4.854368569958847,99.63250681584358,182
16987014,20697,useful,mdo,1473619142,1,22,1,3.3759094650205763,85.93046154835385,167
16986933,20696,useful,mdo,1473618798,2,6,2,6.816067772633747,85.93784940843616,167
16986756,20695,useful,mdo,1473618058,1,12,2,0.9252883230452675,85.95374189814812,167
16966293,20694,useful,akamch,1473509751,1,4,1,3.6490711162551444,87.30712409979428,172
16944522,20690,useless,mhedrick,1473416234,3,50,3,0,89.3756585648148,172
16926486,20684,useful,mdo,1473370408,6,198,20,16.406344778806584,90.38929951131695,172
16926482,20683,useless,vanduynslagerp,1473370395,1,2,1,0,90.38958706275713,172
16924911,20682,useful,mdo,1473363335,1,2,1,3.6359880401234563,89.5414849537037,171
16903111,20678,useful,Kovah,1473310166,1,803,14,0.810065329218107,88.69984632201643,170
16900420,20677,useful,Kovah,1473303594,1,66,1,4.176547582304526,88.84352430555563,170
16893005,20673,useful,adammacias,1473279607,1,5,1,0,89.36793145576124,170
16892218,20672,useful,mdo,1473276228,5,40,2,4.828650205761316,88.43762590020572,169
16891617,20671,useful,mdo,1473275058,2,13,1,0,85.45036509773655,166
16886897,20668,useless,raeef-refai,1473259449,1,2,1,0,25.80790432098765,66
16874272,20667,useful,mdo,1473230970,3,10,3,3.1879192386831274,82.35292991255139,162
16873862,20666,useful,mdo,1473230173,1,8,1,0,82.3695340792181,162
16873673,20665,useful,mdo,1473229810,1,1,1,0.9751322016460905,82.37709657921812,162
16864037,20664,useless,iamphill,1473205454,1,1,1,0.9782644032921811,82.88451324588478,162
16853539,20658,useful,J2TeaM,1473169109,1,2,1,4.440402777777778,82.6348688271605,161
16852577,20657,useless,J2TeaM,1473166659,2,6,1,2.145801054526749,82.68559542181063,161
16851862,20653,useless,J2TeaM,1473164880,1,4,1,2.1464873971193414,82.72242914094659,161
16849547,20651,useful,J2TeaM,1473159866,1,11,1,2.2008353909465024,82.82624266975304,161
16848266,20649,useless,kevdotbadger,1473157026,1,8,3,3.235465534979424,82.88504411008226,161
16846334,20648,useless,kevenjesus,1473153118,1,5,1,0,82.96595820473249,161
16842973,20646,useful,TiGR,1473145662,1,12,1,0,83.12033269032916,161
16835575,20642,useful,J2TeaM,1473129308,1,5,1,2.16021116255144,83.46167656893007,163
16835451,20641,useless,kevdotbadger,1473128968,1,24,1,0,83.46880362654328,163
16835396,20640,useless,kevdotbadger,1473128789,1,24,1,0,83.47255581275722,163
16835040,20639,useless,kevdotbadger,1473127814,1,22,1,0,83.49299369855964,163
16832483,20637,useless,kevdotbadger,1473120327,1,40,11,84.75658744855969,83.64993569958853,163
16830820,20636,useful,TiGR,1473115138,250,20040,190,50.901398533950626,27.03916409465021,68
16819038,20629,useful,mdo,1473068334,1,59,2,1.6170002572016462,77.70148341049378,156
16801089,20627,useful,mdo,1473004695,1,12,6,3.4399365997942386,77.97402443415642,155
16801053,20626,useful,mdo,1473004527,1,2,1,0,76.9732056327161,154
16800913,20625,useful,mdo,1473003569,1,8,2,1.3257287808641973,69.96259259259254,147
16771620,20618,useful,cvrebert,1472831646,2,50,1,2.9182572016460906,73.29891100823043,167
16750873,20615,useless,199911,1472776058,8,504,17,30.7613090277778,30.03979256687243,74
16714706,20605,useless,bardiharborow,1472676217,2,20,1,1.6654504886831276,76.71799614197535,175
16714394,20604,useless,waltonryan,1472674526,1,1,1,0.5483110853909465,31.028638888888885,79
16706276,20602,useless,tjkohli,1472654623,1,2,1,0.6800700874485597,77.20625938786006,177
16672422,20597,useful,iamravenous,1472549508,1,6,2,6.855404192386831,79.59892335390951,177
16583033,20587,useless,wkurosawa,1472204198,1,53,3,3.3939309413580245,86.22301607510289,200
16567812,20585,useless,xuej,1472166063,4,5,1,0,36.471799382716064,92
16566285,20583,useless,xuej,1472160590,2,1,1,0,36.536551954732516,92
16552400,20580,useless,nivanson,1472115647,1,2,1,8.766220293209877,28.197382844650207,120
16541236,20577,useless,aaronshsieh,1472091611,1,20,1,0.6616049382716049,37.35266152263377,92
16532359,20574,useless,zohebainapore,1472065721,1,34,1,4.574536779835391,89.79822222222224,201
16507994,20572,useless,ARKKYN,1472006224,1,82,1,0,38.381431970164606,96
16501575,20571,useless,vijaydemansol,1471986733,1,5,1,0,38.62206159979424,96
16490975,20570,useless,jamby,1471951018,1,80,1,0,92.82750437242795,207
16481934,20567,useful,1000hz,1471930946,2,4,1,0,39.31078999485595,96
16466261,20562,useful,bardiharborow,1471881410,1,1,1,2.305482896090535,94.68049511316867,207
16442744,20557,useful,bardiharborow,1471822954,3,175,43,139.6609494598765,195.63401350308646,286
16440213,20555,useful,bardiharborow,1471813429,1,190,10,2.7180776748971196,207.88430709876525,294
16408329,20545,useful,mdo,1471633376,1,8,1,0,82.35580375514402,189
16408304,20544,useless,milkboss,1471633266,1,1,1,0,42.985851723251,96
16381137,20540,useless,gcbenjamin,1471550167,1,46,1,1.951522119341564,82.37076941872432,187
16380598,20539,useful,gcbenjamin,1471547970,250,20806,186,83.06959516460907,44.03888876028804,96
16357915,20537,useful,enzanki-ars,1471490362,1,2,1,0,83.82665753600823,190
16323313,20534,useless,Nanocom,1471393490,1,2,1,0,86.19975450102883,191
16297103,20529,useless,dennify,1471316486,1,5,1,0,88.09945344650207,192
16289126,20526,useless,yawnzhao,1471288943,1,182,1,0.7648287037037037,47.23675295781893,96
16193558,20505,useful,vanillajonathan,1470896203,1,3,1,5.380277134773663,98.55779668209881,195
16183902,20502,useless,hdygiggs,1470870994,1,1,1,0,52.39661715534978,96
16182000,20501,useless,doofster,1470863918,1,4,1,1.7460630144032923,99.369250771605,196
16177552,20499,useless,gcbenjamin,1470843644,250,7934,154,235.08224164094648,99.88577031892993,200
16154028,20494,useless,owex,1470787821,1,157,12,82.78195794753087,101.35354938271597,213
16153737,20493,useful,owex,1470787019,250,20921,189,101.56493197016454,53.43334555041153,96
16114104,20489,useful,Starsam80,1470662520,1,4,1,0.013310956790123507,102.0676063528807,231
16076547,20476,useful,bardiharborow,1470504886,1,1,1,0.033582818930041114,106.97411959876544,281
16072858,20474,useless,J2TeaM,1470481944,1,4,1,1.8232263374485598,57.19970357510287,96
16063991,20473,useless,bardiharborow,1470426577,1,2,1,0.04613310185185182,109.81188760288066,282
16056363,20472,useless,schoenburg,1470394846,1,10,3,2.9085761316872425,110.96262602880655,282
