pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits
17825899,3354,useless,hapjs,1476196722,1,8,1,0.24754128086419758,10.524106224279835,23
17770024,3352,useless,chrissles,1476051876,1,2,1,0,11.000409079218105,26
17747018,3351,useless,cloudmind7,1475950074,1,2,1,0,11.340796424897118,26
17709007,3348,useless,sunrisesoft,1475805411,113,6154,85,19.135390946502064,11.824494727366258,26
17582392,3344,useless,canabina,1475460571,1,6,1,0.04243981481481485,13.180928626543212,32
17348366,3331,useful,stevemao,1474750498,1,57,5,0.5532403549382716,16.103039737654324,32
17338183,3329,useless,pslean,1474700756,114,6156,86,27.014369855967082,16.307739326131685,32
17174474,3322,useless,earforth,1474222720,1,42,1,1.7469063786008232,11.117574717078192,26
17173763,3321,useless,dmethvin,1474218949,1,7,1,0,11.130183513374481,26
17112241,3318,useless,gibson042,1473961639,1,12,1,0.9985581275720165,11.990530735596709,26
17002397,3316,useless,timmywil,1473665929,1,170,15,2.853497556584362,9.933989583333336,23
16997228,3315,useless,Parthfaladu,1473654775,250,35124,203,25.17050643004115,9.966981095679017,23
16676755,3308,useless,mgol,1472617596,2,55,3,0.4839183384773662,13.644390817901233,33
16619629,3300,useless,UvmTest,1472389551,1,2,1,0,14.612174382716049,33
16423209,3285,useless,stevemao,1471721207,3,16,2,0,17.5264129372428,34
16421569,3284,useless,stevemao,1471707946,1,14,1,0,17.584395704732515,34
16272471,3279,useful,timmywil,1471243461,2,111,5,2.8993656121399183,18.756343492798354,37
16248263,3278,useless,nithmanoj,1471139785,1,13,3,3.3101556069958846,19.255601980452674,38
16247652,3277,useful,nithmanoj,1471136423,1,9,2,1.8410428240740742,19.272031507201646,38
15973523,3261,useless,dmethvin,1470138400,1,26,2,1.2230758744855967,18.326213734567897,42
15957981,3255,useful,gibson042,1470044395,2,25,1,1.9570340792181067,15.78982908950617,39
15932547,3253,useless,dmethvin,1469789681,2,78,2,0.9303528806584362,17.145892232510278,42
15881861,3245,useful,mgol,1469434028,1,7,1,2.5592530864197527,18.249916795267485,54
15773298,3234,useless,culterone,1468491036,1,2,1,0,23.595352109053493,62
15764010,3231,useful,miyopico,1468426623,113,6154,85,53.857244470164694,22.11576157407407,60
15722447,3225,useful,mgol,1468226460,4,100,2,9.72670010288066,23.660229166666664,60
18026874,3199,useless,ConnorAtherton,1466843541,1,50,4,2.329627314814815,27.730590406378596,69
15537027,3188,useful,markelog,1466431140,2,20,3,8.15313052983539,30.366996270576124,68
15516242,3183,useless,passiveaggressive-linus,1466250059,1,19534,272,154.09663605967026,31.950523533950612,68
15485992,3173,useless,poppinlp,1466033730,1,2,1,1.1146719393004114,33.842289480452685,68
15481088,3171,useless,dshaps10,1466001035,1,15,1,1.5862317386831277,34.1290842335391,69
