pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits,branch
44909172,27152,useless,fedorovvldmr,1535591975,1,12,1,0,86.98894650205753,167,v4-dev
44856862,27148,useless,joker-smiling,1535525449,1,2,1,2.6164695216049383,88.42229115226338,169,v4-dev
44845405,27147,useless,Flinsch,1535515373,1,2,1,4.860934027777779,88.64251530349797,170,v4-dev
44844002,27146,useful,XhmikosR,1535513997,1,2,1,1.9790686728395062,87.66834297839505,169,v4-dev
44666077,27138,useful,ysds,1535294260,1,2,1,4.11424074074074,90.40468415637856,167,v4-dev
44624279,27131,useful,XhmikosR,1535181518,1,38,1,1.1631072530864197,88.78081352880663,164,v4-dev
44624251,27130,useful,XhmikosR,1535181458,1,963,2,26.544978652263374,93.85759735082296,169,v4-dev
44577112,27127,useful,mdo,1535095152,1,1,1,3.2528275462962966,87.55675025720161,161,v4-dev
44430022,27118,useless,svetoslavatanasov,1534892812,1,97,1,2.7754531893004115,90.7068092849794,160,v4-dev
44404304,27115,useful,MartijnCuppens,1534846640,1,24,1,1.9987456275720163,91.65771887860093,163,v4-dev
44309211,27103,useful,XhmikosR,1534718375,1,566,3,29.811560699588473,93.41427250514407,170,v4-dev
44303531,27102,useless,yimss,1534709111,1,1,1,0,92.61251208847722,169,v4-dev
44303418,27101,useless,yimss,1534708902,1,2,1,0,0.9927577160493827,1,test
44303000,27100,useless,yimss,1534708194,1,1,1,0,92.6324417438272,169,v4-dev
44300796,27099,useless,Vincent-Hoo,1534703177,2,2,2,0,92.74147890946497,169,v4-dev
44296276,27098,useful,patrickhlauke,1534691358,1,2,1,1.2891772119341562,92.9983476080247,169,v4-dev
44271012,27092,useful,mdo,1534619412,1,1,1,1.9202148919753088,98.74690162037034,174,v4-dev
44264090,27090,useless,Profesor08,1534594514,1,30,1,4.417815715020576,90.04507214506172,165,v4-dev
44229145,27088,useful,Johann-S,1534508265,2,7,1,4.602936342592592,90.86332355967086,164,v4-dev
44116851,27079,useful,ywarnier,1534339427,1,4,1,1.3796944444444443,94.43652276234576,165,v4-dev
44110971,27078,useless,JoshuaLicense,1534332804,1,9,2,2.098357638888889,94.57705709876556,165,v4-dev
44096693,27075,useless,kevdotbadger,1534315350,1,20,1,0,94.9474158950618,165,v4-dev
44080248,27073,useful,gregtyler,1534294057,1,2,1,1.391363683127572,95.39923495370354,165,v4-dev
44019222,27066,useful,acjbizar,1534204025,2,5,2,9.151878086419753,111.46317656893018,178,v4-dev
43988234,27062,useful,Johann-S,1534160445,1,29,1,1.4257289094650205,113.27908397633739,190,v4-without-jquery
43946003,27058,useful,XhmikosR,1534112111,1,53,2,29.302622170781895,98.26689981995872,166,v4-dev
43928028,27057,useful,XhmikosR,1534072684,2,7,2,20.778957561728397,92.06323276748974,159,v4-dev
43927167,27056,useful,Johann-S,1534070536,1,5,3,28.082354809670775,95.12103716563786,162,v4-dev
43925484,27055,useful,XhmikosR,1534066219,2,40,20,33.60847286522635,90.18629205246918,157,v4-dev
43912101,27054,useless,timelee,1534028606,1,1,1,0,83.8851464763375,150,v4-dev
43901105,27053,useful,Johann-S,1533987728,1,15,2,4.5034465020576135,84.67368814300413,150,v4-dev
43829344,27043,useful,XhmikosR,1533850970,1,34,3,23.870493698559667,88.34199974279848,151,v4-dev
43677285,27034,useful,MartijnCuppens,1533634953,1,2,1,2.5187654320987654,106.37500540123452,166,v4-dev
43671371,27031,useful,Johann-S,1533627664,1,24,2,2.8191219135802466,90.66986856995881,151,v4-dev
43407028,27016,useful,vanillajonathan,1533171972,1,2,1,3.510748585390947,96.53936111111106,149,v4-dev
43402930,27015,useful,XhmikosR,1533166291,4,18,3,21.944374485596704,102.96808873456774,155,v4-dev
43398682,27014,useful,XhmikosR,1533159859,1,4,1,16.47976556069959,93.75603832304513,146,v4-dev
43398220,27013,useful,XhmikosR,1533158855,1,6,1,15.478859825102877,92.77062641460908,145,v4-dev
43365326,27010,useful,rowantran,1533111154,1,1,1,1.7927861368312756,100.74441833847747,152,v4-dev
43338340,27008,useful,MartijnCuppens,1533079076,1,2,1,1.7038587962962963,96.28766743827148,147,v4-dev
43338223,27007,useful,Johann-S,1533078961,2,1459,7,52.754207561728386,145.5198653549384,189,v4-dev
43306332,27005,useful,MartijnCuppens,1533032131,1,3,2,13.705949331275722,118.15569495884762,166,v4-dev
43260056,26999,useful,gricey432,1532965593,1,4,2,4.35859670781893,99.46340470679013,148,v4-dev
43247940,26997,useful,MartijnCuppens,1532949812,1,2,2,0,96.670151877572,146,v4-dev
43247017,26996,useful,MartijnCuppens,1532948890,2,29,1,1.1323967335390948,143.405872942387,186,v4-dev
43185679,26987,useless,kwaaui,1532862823,1,2,1,1.7594794238683127,92.74196952160497,141,v4-dev
